"","RIPCre.2.1","RIPCre.2.2","RIPCre.2.3","RIPCre.2.4","RIPCre.2.5","RIPCre.2.6","RIPCre.2.7","RIPCre.2.8","RIPCre.2.9","RIPCre.2.10","RIPCre.2.11","RIPCre.2.12","RIPCre.2.13","RIPCre.2.14","RIPCre.2.15","RIPCre.2.17","RIPCre.2.24","RIPCre.2.25","RIPCre.2.26","RIPCre.2.27","RIPCre.2.29","RIPCre.2.31","RIPCre.2.32","RIPCre.2.34","RIPCre.2.43"
"42430",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0,0
"42431",27.28,0,0,0.09,0,40.92,0,21.12,27.03,19.24,18.78,21.26,45.11,0,0,12.96,0,0.14,19.59,21.39,0.4,3.04,33.41,0.98,0.27
"42432",0.1,0,0,0,0,0,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22,0,0
"42433",0.14,17.57,0,0,0,0,0,17.4,0,17.27,38.84,64.4,3.88,0,20.23,0,10.53,0,0.45,0,22.59,6.21,0,0,3.27
"42434",32.92,0.35,0.09,20.83,8,0.1,9.26,23.01,17.53,0.08,2.37,6.23,20.78,18.61,8.76,0.18,44.33,0.14,0.24,44.99,6.6,0.47,14.7,3.94,0
"42435",7.22,11.2,15.24,77.94,57.17,49.45,56.33,18.6,11.59,15.85,31.51,6.02,69.84,0,9.48,0,0,61.75,19.6,4.4,47.31,11.58,24.47,29.63,0
"42436",26.04,24.43,0,7.12,38.16,4.57,0,17.03,0,18.48,0.41,5.24,27.57,14.36,0,16.53,35.43,0.48,0,22.06,32.83,0,22.47,0,0
"42437",0,9.3,62.12,0,0,0,8.6,0,51.33,21.18,27.33,28.8,0,50.3,41.66,2.06,0,22.74,0,0,11.93,0,42.95,51.92,102.97
"42438",0,17.36,0,0,24.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0
"42439",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.95,0,0,0,0,0,0,0
"42440",13.48,0,0.17,0,0,0,7.7,20.07,0,0,0,0,0,0,0.88,0,0,13.31,0,20.85,0,0,0,0,0
"42614",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.18,0,0,0
"42615",2.96,14.98,47.58,0.15,0,0,25.1,10.92,1.01,14.82,10.46,41.72,25.73,39.74,7.53,0,1.38,3.32,73.14,1.48,3.49,0,0,0,0
"42616",93.64,52.54,82.47,69.92,27.12,77.78,64.53,77.67,18.65,64.11,95.03,50.35,75.44,77.93,51.75,56.47,88.69,56.43,39.17,15.38,24.78,63.16,34.76,28.09,12.19
"42617",0,0,0,2.31,0,0,73.05,69.33,78.52,0,0,0,78.74,0,50.71,54.13,62.26,81.11,45.17,0,0,0,0,57.01,0
"42619",61.64,0,0,11.06,0,0,41.19,0,6.91,0,4.85,0,28.53,9.51,19.56,0,1.96,0,29.53,9.26,0,0.25,42.52,27.73,0
"42620",74.61,44.67,96.32,18.91,58.26,67.69,64.86,4.75,7.69,26.39,44.3,34.02,33.84,57.1,18.78,46.05,50.21,58.15,49.88,45.21,32.94,33.04,56.14,47.57,78.38
"42621",9.2,14.29,24.99,8.23,0,0,16.7,16.35,35.17,38.28,40.12,27.78,46.36,21.02,29.17,11.13,3.55,0,25.03,0,14.6,20.14,27.33,22.32,51.69
"42622",0,0,26.79,10.93,16.62,0,0,2.49,0.26,34.89,29.72,16.08,0,0,0,0,21.61,0,0,0,11.79,28.37,29.34,0,0
"42623",0,0,0,0,0,0,0.34,0,0,0,0,0,0,1.05,0,0,0,0,1.2,0,0,0,0,0,0
"42624",5.81,24.47,29.77,21.45,0,0,49.21,0,26.93,12,2.15,0.22,35.26,86.03,2.18,0,29.43,14.62,2.97,31.85,14.44,0,0,0.2,0
"42625",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42627",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42628",163.03,175.41,217.79,160.17,75.64,174.09,103.63,129.96,47.02,56.53,121.74,205.97,113.35,179.45,96.64,103.34,153.92,142.06,166.14,68.2,102.4,107.07,124.15,24.53,196.71
"0610005C13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610007P14Rik",69.26,0,10.88,1.78,84.24,0,52.11,71.9,68.66,106.61,0,0,0,1.41,17.04,9.25,0,52.04,41.59,0,1.9,0,0,55.04,0
"0610009B22Rik",120.31,74.49,91.96,0,127.8,146.51,0,83.2,46.91,124.94,87.36,194.88,49.88,0,20.45,123.6,0,197.93,35.42,184.46,41.55,81.35,46.22,43.3,0
"0610009L18Rik",55.82,41.85,0,41.91,0,0,0,0,0,0,53.09,0,109.22,65.02,0,16.18,44.66,0,1.03,0,0,0,0,0,255.95
"0610009O20Rik",2.19,28,0,16.07,0,0,3.96,2.65,51.47,31.31,0,6.23,0.51,0,0.58,4.23,0.12,0,35.71,0,0,0,17.13,0,0
"0610010B08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610010F05Rik",22.34,2.94,0,26.49,0.58,50.77,0,0,3.96,0,35.54,0,0,41.71,2.37,13.08,53.89,0,4.77,1.8,4.61,0,0,2.38,0
"0610010K14Rik",205.69,117.32,213.3,153.71,183.83,115.45,162.72,249.89,267.14,192.23,98.36,153.57,196.92,206.55,133.97,131.63,89.51,190.99,102.45,171.1,130.29,252.5,190.96,103.94,186.16
"0610011F06Rik",47.17,219.64,205.64,115.56,54.4,203.63,116.19,272.33,19.5,190.2,73.94,89.42,164.32,124.07,34.62,68.22,206.99,210.6,57.61,97.52,164.31,303.45,162.94,170.9,403.86
"0610012G03Rik",52.85,44.03,99.73,82.42,85.13,22.3,63.13,187.49,59.15,63.79,60.57,157.31,53.47,98.81,75.69,62.9,132.91,2.15,26.1,78.78,27.56,0,79.26,26.48,55.92
"0610030E20Rik",0,0.09,0,7.42,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0.3,0,0.16
"0610031O16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610037L13Rik",38.44,5.56,0,0,0,0,70.99,19.29,16.05,9.75,58.87,0,24.51,59.57,0,64.64,40.29,0,24.48,0.9,61.12,49.56,0,4.95,118.2
"0610039H22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.04,0,0,0,0.87,0,0,0,0,0,0
"0610039K10Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610040B10Rik",63.11,0,0,0,0,0,0,38.22,0,0,26.95,0,78.3,0,0,0,0,0,27.63,51.18,24.74,34.36,0,0,0
"0610040F04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.91,0,0,0,0,0,0,0,0,0,16.87
"0610040J01Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610043K17Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27,0,0,0,0,0,0,0
"1010001N08Rik",0,0,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110001J03Rik",76.96,93.37,39.01,92.45,173.81,101.68,18.67,157.62,35.87,41.51,0,68.77,73.7,93.8,73.73,0,47.76,77.1,79.82,74.72,76.6,104.75,0,104.76,0
"1110002L01Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.91,0,3.8,0,0,0,0
"1110004E09Rik",60.48,155.94,0,70.56,0,226.63,98.33,6.26,0,68.87,56.22,27.21,122.41,79.31,114.8,70.54,54.9,244.09,44.02,0,17.42,87.38,77.16,39.72,140.15
"1110004F10Rik",396.67,194.52,221.5,170.73,268.81,76.76,240.01,197.5,109.16,162.54,149.98,276.73,190.18,307.3,120.17,160.43,325.27,139.02,225.07,180.53,93.38,111.48,326.08,222.23,173.09
"1110006O24Rik",0,0,0,0,0,0,0,0,0,0,20.73,0,0,0,0,0,0,0,0,0,9.28,0,9.2,64.87,0
"1110007C09Rik",0,0,0,0.51,0,69.28,0,0,109.05,45.06,22.78,57.19,0,0,0,0,0,0,0,0,21.95,25.37,21.35,0,0
"1110008F13Rik",14.04,0.21,4.43,11.18,9.1,0,7.64,6.89,12.07,6.16,5.5,6.73,0.3,10.77,0.11,29.68,0,7.16,0,11.86,0.95,6.82,6.56,10.72,0.35
"1110008L16Rik",1.85,0,0,0,4.22,0,0,0,0,0,0,0,0,0,0,28.48,5.94,16.47,0,0,0,0,1.96,0,2.11
"1110008P14Rik",160.61,192.95,279.31,140.23,139.73,151.48,49.43,195.38,96.33,161.63,136.14,179.62,67.28,78.28,129.72,198.2,52.1,290.06,159.77,140.44,109.13,231.39,125.84,63.42,229.55
"1110012L19Rik",85.23,0,95.39,0,157.68,0,0,94.93,0,0,0,0,0,0,148.68,26.17,0,0,0,0,19.17,0,52.81,0,74.22
"1110015O18Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110017D15Rik",85.62,0,0,29.55,0,24.16,17.73,1.3,0,14.19,6.04,24.53,14.61,0,0,30.32,8.67,0,0,0,3.2,0,0,0,0.59
"1110019D14Rik",0,0,0,0,0,74.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110020A21Rik",0,0,0,0,0,34.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110025L11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110028F11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110028F18Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110032A03Rik",54.79,68.39,48.35,32.56,39.34,42.31,31.76,0,0,0,31.09,81.75,59.97,39.65,21.99,41.17,29.71,0,0,0,0,52.91,9.11,0,0
"1110032F04Rik",0,0,0,0,0,0,0,0,2.19,0,0,0,0,49,0,0,13.27,0,0,0,0,0,0,0,0
"1110034G24Rik",0,10.01,0,0,0,0,0,14.62,67.62,0,0,35.25,0,0,0,0,0,0,31.37,0,0,0,0,0,0
"1110036E04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110037F02Rik",0,3.53,2.01,0,0,0.28,0,2.73,2.38,0,0,0.17,0,8.38,13.35,7.78,7.45,0,13.9,0.93,5.28,0,0,0,14.13
"1110038B12Rik",0,56.48,41.29,54.47,0,70.51,0,62.28,26.35,53.37,60.88,0,95.41,0,80.42,0,0,144.26,83.41,0,42.22,0,49.43,0,63.73
"1110038F14Rik",0,73.96,0,47.02,0,111.21,32.5,131.92,87.32,89.02,0,12.88,11.54,0,0,76.67,14.61,108.85,9.09,0,18.66,0,3.76,0,0
"1110046J04Rik",0,0,0,0,0,0,0,0,0,0.58,0,0.84,0,0,0,9.2,0,0,0.82,0,36.23,0,0,0,0
"1110051M20Rik",40.86,43.63,41.16,32.18,43.85,28.58,27.64,50.1,13.85,30.23,18.97,46.91,34.86,31.78,36.56,21.11,19.83,38.9,21.79,12.9,24.34,28.74,26.46,35.62,16.33
"1110054M08Rik",0,0,0,0,0,0,0,19.69,0,0,0,0,0,0,0,0,0,0,0,36.01,0,0,0,0,0
"1110057K04Rik",0,0,57.28,3.06,19.4,0,24.77,17.38,0,0.07,17.04,34.53,15.66,36.02,9.02,2.29,0,18.42,16.45,6.44,15.38,13.9,12.15,2.18,0.85
"1110058D11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110059E24Rik",0,117.28,253.66,95.29,135.44,91.14,54.13,13.73,10.28,59.62,63.11,67.86,63.73,55.2,0.34,20.71,63.61,0.55,0,70.38,10.25,48.81,43.05,39.33,0
"1110059G10Rik",37.08,0,54.74,15.75,39.11,0,0,16.34,6.38,0,0,1.76,16.82,0,0.14,33.49,0,2.58,22.47,0.16,0,4.99,10.72,2.15,0
"1110065P20Rik",40.49,47.96,57.06,0,49.12,32.29,34.21,77.97,87.5,0,18.23,38.93,18.76,46.22,25.21,57.59,24.19,8.3,19.31,0,36.94,6.61,14.83,34.47,67.97
"1190002F15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1190002N15Rik",0,0,0,0,0,0,0,0,0,3.36,0,0,0.32,0,0,0,0,0,24.63,0,0,0,25.4,0,0
"1190003K10Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1190005I06Rik",0,0,0,0,0,0,0,0,0,0,0,0,49.59,0,0,0,57.4,0,0,0,0,1.14,4.81,0,0
"1190007I07Rik",52.79,43.29,0,0,0,0.73,0,2.99,0,0,20.83,66.1,60.83,44.84,30.29,29.97,0,0,9.41,0,16.05,20.21,0,0,0
"1200014J11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1300002E11Rik",0,0,8.93,0,0,0,0,5.52,0.85,0,0,4.32,20.19,0,6.09,6.62,1.66,0,0,0,3.22,0,0,30.2,0
"1300017J02Rik",0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1500004A13Rik",0,3.56,0,10.11,14.51,0.05,10.82,8.33,1.96,15.65,3.82,0,3.95,20.51,5.72,5.07,6.28,1.71,14.94,19.79,8.51,9.3,8.97,0.29,0.08
"1500009C09Rik",59.31,82.62,79.81,29.19,88.23,0,44.2,52.99,32.05,117.56,97.69,6.57,71.01,0,90.04,43.09,81.59,31.56,61.85,72.69,27.01,26.9,56.78,21.41,39.6
"1500009L16Rik",66.15,82.15,0,166.74,110.47,170.83,39.07,77.93,0,0,0,39.2,103.99,65.08,59,52.33,143.9,0,85.77,0.46,51.56,109.73,0,0,172.88
"1500011B03Rik",200.49,149.79,181.91,224.09,241.14,158.17,199.92,239.5,177.42,259.27,134.63,80.75,196.63,145.3,189.53,153.6,148.77,119.13,177.77,129.81,57.63,65.68,201.55,226.08,301.79
"1500011K16Rik",124.02,29.66,71.29,31.33,116.49,16.85,115.63,31.79,103.12,88.61,81.46,30.07,0,118.56,0,83.52,34.9,1.95,25.25,0,30.08,13.46,58.38,11.17,0
"1500012F01Rik",107.86,0,66.04,87.53,56.15,108.18,30.37,15.19,76.56,0,55.09,30.37,67.82,0,54.74,5.17,131.12,75,71.98,81.86,99.18,68.28,83.3,68.74,114.56
"1500012K07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1500015A07Rik",0,0,0,0,0,0,0,29.77,0,0,0,0,0,0,0,40.94,0,0,0,0,0,0,0,0,0
"1500015L24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1500015O10Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1500017E21Rik",0,0,0,0,0,0,0.26,0,0,0,0.39,0,0,0,0,0.13,0.19,0,0.18,0,0,0,0.2,0.79,0
"1500026H17Rik",0,0,8.38,0,0,0,0,3.28,0,3.86,0,0,0.21,0,0.96,0,4.92,0,2.7,3.92,0,0,6.89,0,0
"1600002D24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35,0,0,0,0
"1600002H07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0.57,40.3,71.25,23.41,0,0,10.75,0,21.74,0,0,0,0
"1600002K03Rik",0,0,0,0,0,0,92.75,0,95.48,0,0,0,0,0,0,0,0,0,0,0,53.62,0,0,0,0
"1600010M07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1600012H06Rik",8.28,0,0,0,0,0,0,20.95,0,0,0.12,0,0,0,0,0.51,0,0,0,16.34,0,20.11,24.1,0,0
"1600012P17Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1600014C10Rik",24.86,17.56,0,0,0,0,0,20.63,21.29,0,41.05,28.09,0,0,0,39.54,37.78,0,14.65,43.78,0,71.81,34,23.63,0
"1600014C23Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1600014K23Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1600015I10Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1600019K03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1600020E01Rik",0,3.52,0,0,0,0,0,0,9.15,22.46,11.94,9.73,0,5.06,29.8,7.95,0,47.84,21.95,0,5,2,0,0,0
"1600023N17Rik",0,0,0,0,0,0,9.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1600025M17Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1600027J07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1600029O15Rik",0,0,0,0,0.24,0,0,0,0,0,0,0,0,0,0,0.52,0,0,0,0,0,0,0,0,0
"1700001C02Rik",0,0,0,0,0,0,42.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001C19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001D01Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001F09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001G01Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001G11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0,0,0,0,0,0.48,0,0,0,0
"1700001G17Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001J03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001J11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001K19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.21,0,0,0,0,0
"1700001K23Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001L05Rik",0,14.12,0,0,0,0,7.39,0,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,17.07,0,0
"1700001L19Rik",0,73.18,49.42,31.92,30.81,36.29,26.82,22.63,16.25,0,33.54,0,61.12,43.9,0,38.25,67.72,79.16,15.57,26.73,0,0,3.51,29.06,0
"1700001O22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.59,0,0,0,0,0,0.7,0,0,42.7,0
"1700001P01Rik",0,0,0,0,0,0,0,0,0,0,16.28,0,0,0,11.84,0,0,0,0,0,0,0,0,0,0
"1700003C15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700003D09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700003E16Rik",0,73.99,4.67,0.7,74.24,0,41.05,75.95,0,66.49,0.45,46.56,0,0,143.57,0,80.13,112.06,13.64,2.19,39.85,0,0,31.39,1.69
"1700003F12Rik",0,0,0,0,0,64.9,0,0,0,69.94,0,0,26.6,0,0,0,0,14.02,0,0,17.92,0,0,0,0
"1700003G13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700003G18Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.41,0,0
"1700003H04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700003I22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700003L19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700003M02Rik",22.26,0,0,0,0,0,0,9.99,22.6,131.55,5.89,29.23,2.82,3.15,0,0,0,0,18.36,0,0,0,0,0,0
"1700003M07Rik",0,0,0,0,37.73,0,0,0,0,0,0,0,0,0,45.54,3.09,0,0,0,0,0,0,0,0,0
"1700003P14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700006A11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700006E09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700006F04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.06,0
"1700006H21Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700007B14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700007F19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700007G11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700007J10Rik",0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.36
"1700007K09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700007K13Rik",4.6,0,91.53,65.19,0,0,99.57,0,0,7.4,0,0,74.38,0,0,62.88,0,0,0,0,0,29.25,0,0,0
"1700007L15Rik",21.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.72,0
"1700007P06Rik",0,0,0,0,0,0,0,0,0,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700008C04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0
"1700008F21Rik",0,0,0,0,0,0,0.49,0,0,0,0,0,0,0,0,0,0,0.43,0,0,0,0,0,0,0
"1700008I05Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700008J07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700008K24Rik",0,0,0,0,0,0,47.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700008O03Rik",0,0,0,0,0,0,0,21.53,0,0,0,0,2.14,0,0,0,0,0,2.1,0,0,0,0,0,0
"1700008P02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700009C05Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700009J07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700009N14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700010B08Rik",0,0,0,0,0,0,0,23.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700010D01Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700010H22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700010I02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700010I14Rik",0,0,0,0,0,0,0,51.94,0,0,0,0,0.3,0,0,0,8.67,0,0,0,2.64,3.55,0,0,28.66
"1700010J16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700010K23Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700011A15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700011B04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700011C11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700011E24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700011H14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700011I03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.32,0,0,0,0
"1700011L22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700011M02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700012A03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700012B07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700012B09Rik",0,0,0,0,0,0,0,0,0,0,0,0,104.33,0,0,0,30.88,0,0,0,9.73,0,0,0,0
"1700012C14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700012D14Rik",0,0,0,0,0,0.29,0,0,0,0,0.09,0,0.17,0,0.13,0.52,0.35,0.21,0.17,0,0,0,0,22.74,0
"1700012D16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700012H19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700012I11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700012L04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700012P22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700013D24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.11,0,33.94,0,0,0,0,0
"1700013F07Rik",0,0,0,0,0,0,0,0,0,0,0,35.63,0,0,0,21.75,0,0,0,0,0,0,0,0,0
"1700013G24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700013H16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700015E13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700015F17Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700015G11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
